Bin,Longitude,Latitude,Population,log(pop+1)
3–4,-5.62916666673641,13.56249999995859,36,3.6109179126442243
3–4,114.03749999988241,35.895833333282994,50,3.9318256327243257
3–4,-77.9625000000408,-10.53750000003177,31,3.4657359027997265
3–4,26.137499999917566,48.095833333278115,20,3.044522437723423
3–4,1.7374999999273086,49.99583333327735,34,3.5553480614894135
3–4,-74.19583333337565,-13.537500000030576,31,3.4657359027997265
3–4,41.904166666577936,43.96249999994644,46,3.8501476017100584
4–5,33.537499999914616,0.12916666663062415,91,4.5217885770490405
4–5,-76.39583333337477,43.329166666613354,143,4.969813299576001
4–5,77.33749999989709,16.762499999957313,98,4.59511985013459
4–5,105.77083333321906,15.195833333291276,142,4.962844630259907
4–5,115.73749999988172,25.729166666620394,61,4.127134385045092
4–5,72.03749999989921,23.79583333328783,72,4.290459441148391
4–5,11.73749999992333,46.562499999945395,97,4.584967478670572
4–5,83.7041666665612,19.162499999956353,104,4.653960350157523
4–5,17.070833333254512,40.829166666614356,91,4.5217885770490405
4–5,110.40416666655051,30.095833333285313,66,4.204692619390966
5–6,76.57083333323072,27.39583333328639,394,5.978885764901122
5–6,75.47083333323118,23.595833333287914,385,5.955837369464831
5–6,76.40416666656415,20.39583333328919,200,5.303304908059076
5–6,30.004166666582677,-22.30416666669373,169,5.135798437050262
5–6,100.13749999988795,14.129166666625025,162,5.093750200806762
5–6,112.53749999988304,29.662499999952153,235,5.4638318050256105
5–6,115.77083333321508,28.429166666619317,297,5.697093486505405
5–6,109.73749999988411,34.929166666616716,349,5.857933154483459
5–6,66.43749999990146,39.96249999994804,283,5.648974238161206
5–6,9.770833333257457,45.195833333279275,239,5.480638923341991
6–7,116.60416666654805,32.66249999995095,792,6.675823221634848
6–7,111.53749999988344,-7.437500000033012,987,6.895682697747868
6–7,87.13749999989318,26.46249999995343,469,6.152732694704104
6–7,105.20416666655262,28.92916666661911,983,6.891625897052253
6–7,79.43749999989626,12.562499999958987,414,6.028278520230698
6–7,116.07083333321492,38.529166666615275,1084,6.98933526597456
6–7,104.27083333321963,1.3624999999634753,894,6.796823718274855
6–7,2.9374999999268425,6.695833333294672,472,6.159095388491933
6–7,77.77083333323026,30.062499999951996,419,6.040254711277414
6–7,86.13749999989358,20.662499999955756,683,6.52795791762255
7–8,80.0041666665627,6.462499999961437,1643,7.404887575616125
7–8,-117.09583333335848,32.69583333328428,2372,7.771910256435763
7–8,74.17083333323168,17.29583333329043,2462,7.809135398120538
7–8,70.63749999989977,40.12916666661464,1332,7.195187320178709
7–8,31.604166666582046,30.529166666618472,1869,7.533693709848633
7–8,137.0374999998732,35.029166666616675,2054,7.628031126930335
7–8,88.77083333322582,22.762499999954912,1564,7.355641102974253
7–8,84.03749999989441,18.429166666623317,1487,7.305188215393037
7–8,-83.22916666670537,42.39583333328039,1110,7.01301578963963
7–8,7.937499999924853,5.895833333294988,1800,7.496097345175956
8–9,6.570833333258719,12.595833333292305,3504,8.16194579946869
8–9,-118.39583333335797,34.095833333283714,4039,8.303999970955196
8–9,39.170833333245696,51.66249999994336,6044,8.706986763048892
8–9,108.80416666655117,-6.837500000033245,5197,8.556029215201436
8–9,14.870833333255405,-5.23750000003389,4622,8.438799123988225
8–9,-57.49583333338232,-25.23750000002589,3161,8.058960017769417
8–9,107.7041666665516,-6.937500000033211,4354,8.379079889286603
8–9,72.93749999989885,22.562499999954994,6094,8.715224041915372
8–9,119.63749999988016,29.129166666619035,7891,8.973604867142505
8–9,120.1708333332133,35.962499999949635,7020,8.85666093701725
9–10,139.6374999998722,35.56249999994979,8379,9.033603193476129
9–10,48.67083333324189,31.329166666618157,10605,9.269175157697076
9–10,-10.795833333400992,6.295833333294837,19933,9.900182095527402
9–10,139.6708333332055,35.629166666616435,11781,9.374328222081633
9–10,108.93749999988444,34.22916666661699,11078,9.312806703520673
9–10,73.80416666656518,19.995833333289355,8502,9.048174321385792
9–10,116.33749999988152,39.92916666661471,18530,9.82720028436401
9–10,100.53749999988781,13.795833333291839,13798,9.532351404751555
9–10,67.10416666656786,24.82916666662075,10120,9.222367752188902
9–10,108.90416666655113,34.262499999950315,21719,9.985988774047872
10+,77.20416666656382,28.629166666619234,30202,10.315696536177638
10+,90.37083333322522,23.72916666662119,54819,10.911810369856777
10+,3.3374999999266777,6.529166666628072,22813,10.035129661587844
10+,77.60416666656363,12.995833333292154,36146,10.495349236591386
10+,78.10416666656346,9.929166666626713,23556,10.067178295192607
10+,74.33749999989828,31.595833333284716,25700,10.154285180632154
10+,31.237499999915514,30.062499999951996,41930,10.643780689153017
10+,73.87083333323181,18.52916666662327,37289,10.526480473172866
10+,72.80416666656558,18.962499999956435,27850,10.23462415135353
10+,73.13749999989878,19.26249999995632,31344,10.352810043708068
